variant,k,layer,recall,samples
shared_only,2,31,0.6641666666666667,1200
shared_only,2,32,0.475,1200
shared_only,2,33,0.6658333333333334,1200
shared_only,2,34,0.58,1200
shared_only,2,35,0.6141666666666666,1200
shared_only,2,36,0.4691666666666667,1200
shared_only,2,37,0.5133333333333333,1200
shared_only,2,38,0.375,1200
shared_only,2,39,0.685,1200
shared_only,2,40,0.4033333333333333,1200
shared_only,2,41,0.735,1200
shared_only,2,42,0.6158333333333333,1200
shared_only,2,43,0.5183333333333333,1200
shared_only,2,44,0.4225,1200
shared_only,2,45,0.37166666666666665,1200
shared_only,3,0,0.10166666666666667,1200
shared_only,3,1,0.4708333333333333,1200
shared_only,3,2,0.56,1200
shared_only,3,3,0.555,1200
shared_only,3,4,0.6558333333333334,1200
shared_only,3,5,0.67,1200
shared_only,3,6,0.6666666666666666,1200
shared_only,3,7,0.645,1200
shared_only,3,8,0.6216666666666667,1200
shared_only,3,9,0.57,1200
shared_only,3,10,0.49416666666666664,1200
shared_only,3,11,0.595,1200
shared_only,3,12,0.5375,1200
shared_only,3,13,0.5716666666666667,1200
shared_only,3,14,0.6675,1200
shared_only,3,15,0.42083333333333334,1200
shared_only,3,16,0.5958333333333333,1200
shared_only,3,17,0.6966666666666667,1200
shared_only,3,18,0.6641666666666667,1200
shared_only,3,19,0.4525,1200
shared_only,3,20,0.8,1200
shared_only,3,21,0.7108333333333333,1200
shared_only,3,22,0.5675,1200
shared_only,3,23,0.5108333333333334,1200
shared_only,3,24,0.6533333333333333,1200
shared_only,3,25,0.5133333333333333,1200
shared_only,3,26,0.6183333333333333,1200
shared_only,3,27,0.5958333333333333,1200
shared_only,3,28,0.5566666666666666,1200
shared_only,3,29,0.5891666666666666,1200
shared_only,3,30,0.6916666666666667,1200
shared_only,3,31,0.42083333333333334,1200
shared_only,3,32,0.5566666666666666,1200
shared_only,3,33,0.525,1200
shared_only,3,34,0.5783333333333334,1200
shared_only,3,35,0.49166666666666664,1200
shared_only,3,36,0.6491666666666667,1200
shared_only,3,37,0.5116666666666667,1200
shared_only,3,38,0.4091666666666667,1200
shared_only,3,39,0.36083333333333334,1200
shared_only,3,40,0.6916666666666667,1200
shared_only,3,41,0.5133333333333333,1200
shared_only,3,42,0.47333333333333333,1200
shared_only,3,43,0.3466666666666667,1200
shared_only,3,44,0.33166666666666667,1200
shared_only,4,0,0.18833333333333332,1200
shared_only,4,1,0.44916666666666666,1200
shared_only,4,2,0.5683333333333334,1200
shared_only,4,3,0.5633333333333334,1200
shared_only,4,4,0.5858333333333333,1200
shared_only,4,5,0.5966666666666667,1200
shared_only,4,6,0.565,1200
shared_only,4,7,0.5841666666666666,1200
shared_only,4,8,0.6533333333333333,1200
shared_only,4,9,0.3875,1200
shared_only,4,10,0.5025,1200
shared_only,4,11,0.5266666666666666,1200
shared_only,4,12,0.5116666666666667,1200
shared_only,4,13,0.5708333333333333,1200
shared_only,4,14,0.575,1200
shared_only,4,15,0.5333333333333333,1200
shared_only,4,16,0.5733333333333334,1200
shared_only,4,17,0.4716666666666667,1200
shared_only,4,18,0.6358333333333334,1200
shared_only,4,19,0.7125,1200
shared_only,4,20,0.7833333333333333,1200
shared_only,4,21,0.6391666666666667,1200
shared_only,4,22,0.4866666666666667,1200
shared_only,4,23,0.5808333333333333,1200
shared_only,4,24,0.5966666666666667,1200
shared_only,4,25,0.48083333333333333,1200
shared_only,4,26,0.5808333333333333,1200
shared_only,4,27,0.5533333333333333,1200
shared_only,4,28,0.5925,1200
shared_only,4,29,0.6325,1200
shared_only,4,30,0.5758333333333333,1200
shared_only,4,31,0.5,1200
shared_only,4,32,0.4633333333333333,1200
shared_only,4,33,0.49083333333333334,1200
shared_only,4,34,0.5916666666666667,1200
shared_only,4,35,0.5583333333333333,1200
shared_only,4,36,0.6283333333333333,1200
shared_only,4,37,0.5158333333333334,1200
shared_only,4,38,0.4141666666666667,1200
shared_only,4,39,0.6425,1200
shared_only,4,40,0.43416666666666665,1200
shared_only,4,41,0.455,1200
shared_only,4,42,0.3525,1200
shared_only,4,43,0.22083333333333333,1200
